userID,username,password,phoneNumber
7805,gggfyibs,gt0csp0e,626546695
6537,bfoxbjuk,rdkstygp,327549591
6131,mwxvjhdt,2nat3msj,596545570
3246,hjoedxtv,2otn42m3,371192718
7387,uumnfpcw,444xc7ie,426317568
4433,trkmfcxe,li44npji,269569181
8601,ozgfvbjo,q41o1ws4,257965445
6182,jcwenwlj,cj4ohb7x,954455269
2964,mpvvozmw,b1mh0mke,851189731
2500,eeuyqigu,3e2hufog,272658085
6207,nnjqzenv,998odoka,446388717
1342,okmcbajv,zij9byjc,773643190
8511,fzulfmqf,wqvc15er,448717021
4922,djtkyewg,z2aom7dr,105052711
1859,qglaaqqp,fu59y0us,676320904
3984,fchiocxp,q46yiyzj,379358475
276,sbggiaxo,oz530gad,899798011
7535,bvczcsdm,uj5rar21,709005576
1740,fmrhctrb,lsog7htn,71608488
2906,bchtuhta,8ii8q448,484866855
8128,pjmsvdux,z1lppeso,491349753
8071,vxzidwzi,nt70kdel,540841925
9984,szotorne,nqntdo8l,975197149
8454,kiuzhdla,oqbh9n1o,339422280
1071,xcctliue,mwbe6y4o,893592659
1495,mjqdmyxf,jcdi57mu,975925763
5520,dzjnihaf,gcs6r4wu,640535534
1093,bknxzuli,c27r1h4a,810933516
4292,wabeajie,padgpeue,899589743
952,nygzjbyv,d8k00ord,274830691
9608,dedhupqe,725fs4b8,744131562
4288,nrpgldsw,hw2w03he,48929108
3616,eawkpjwt,gd6wcv5r,70383001
1231,uqltwsdm,8o31v1zy,339312804
632,povjoyqq,c215eihp,348774115
5500,dphmgysv,6imdxq7h,682350719
8599,lajylmcd,utqn2y5y,580411205
2327,ishlqmwj,ghe1zqrl,579346414
7600,khtqulji,muk2m7jw,752990634
7438,nxypbovd,4m6hrt5r,474425334
2931,mrlrvfat,aex0ciyc,588246766
4884,nixqufmi,w7hq7mmw,974882832
2588,vbnentyb,y5njj5ox,971248072
9775,tjhhygqg,2p4jocsv,15567602
1217,ccmyeifp,01b2p6bq,748662451
234,yrkwrivl,iaxfaymq,267972132
4370,rtijytau,rnmaqv4j,223373119
8808,xftyctdk,n04r8ezc,288498982
2547,lyfszivs,yxr0fvbx,839929332
4200,tyuanwod,g43xu1fi,391809821
8897,mvucaecv,q8uwbbjj,232705919
8682,sbofdhec,k5ti3u4w,387720946
1718,srmrofya,smiv0rh3,156601995
9650,frxxabeo,c4mkx7xy,1302074
118,rbrojjmr,jlcxenp4,606874999
9614,tfurhdfq,895u1pvm,998614155
8412,omugcgzg,qvr51jnh,27986804
4119,ybvvxpya,er3t8rjm,327488525
2296,vkqwisdv,gcdu8jtd,956608342
4483,wezahumw,0o47qbvm,8100577
7512,lwepypdv,igi4qlto,878142802
1881,psazzkuy,294vzaxq,478181043
1101,wctrambq,3vu3zmm7,52187194
4723,qehdjuil,k5rfft8n,102377240
6025,oqeaxjnm,68a40pv6,842282656
879,hbayvhgj,231lilas,749468507
613,smvkdgzq,r8u2uckq,164375562
